epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation_lo,budget_violation_hi,spectral_violation,dual_budget_lo,dual_budget_hi,dual_spectral,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6167010068893433,0.22069597244262695,0.24828532338142395,0.22368420660495758
2,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5711623430252075,0.22069597244262695,0.24417009949684143,0.22368420660495758
3,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.521759271621704,0.24267399311065674,0.2702331840991974,0.23245614767074585
4,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4514803886413574,0.5009157657623291,0.4197530746459961,0.4429824650287628
5,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3573849201202393,0.553113579750061,0.4279835522174835,0.445175439119339
6,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2548130750656128,0.6007326245307922,0.46364882588386536,0.46052631735801697
7,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1565015316009521,0.610805869102478,0.4691357910633087,0.45614033937454224
8,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0645036697387695,0.6538461446762085,0.5075445771217346,0.4868420958518982
9,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.970550537109375,0.6648351550102234,0.5034293532371521,0.49780702590942383
10,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9288350343704224,0.7023809552192688,0.4965706467628479,0.5
11,1,1.0,0.6877694129943848,nan,nan,0.14902174472808838,0.0,0.0,0.05097825825214386,0.0013876032317057252,0.0,0.0,0.8660959601402283,0.7298534512519836,0.5240054726600647,0.5131579041481018
12,1,1.0,0.7962939143180847,nan,nan,0.15061813592910767,0.0,0.0,0.04938186705112457,0.0013876032317057252,0.0,0.0006520613678731024,0.7731013298034668,0.7829670310020447,0.5349794030189514,0.5285087823867798
13,1,1.0,0.8770273923873901,nan,nan,0.14515000581741333,0.0,0.0,0.05484999716281891,0.0013876032317057252,0.0,0.0017942152917385101,0.7333009839057922,0.791208803653717,0.5514403581619263,0.5350877046585083
14,1,1.0,0.9242226481437683,nan,nan,0.1610841602087021,0.0,0.0,0.03891584277153015,0.0013876032317057252,0.0,0.002626418601721525,0.6650136113166809,0.7847985625267029,0.5322359204292297,0.5548245906829834
15,1,1.0,0.9501249194145203,0.13560055196285248,57.449275970458984,0.1417226791381836,0.0,0.0,0.058277323842048645,0.0013876032317057252,0.0,0.0044241962023079395,0.6104944944381714,0.8424908518791199,0.5432098507881165,0.5482456088066101
16,1,1.0,0.9656786322593689,nan,nan,0.14699414372444153,0.0,0.0,0.05300585925579071,0.0013876032317057252,0.0,0.005608962383121252,0.5853365063667297,0.8717948794364929,0.5486968159675598,0.5657894611358643
17,1,1.0,0.97737717628479,nan,nan,0.14261850714683533,0.0,0.0,0.05738149583339691,0.0013876032317057252,0.0,0.006439138203859329,0.5484772324562073,0.8763736486434937,0.5404663681983948,0.5570175647735596
18,1,1.0,0.9837456345558167,nan,nan,0.1385507583618164,0.0,0.0,0.06144924461841583,0.0013876032317057252,0.0,0.008057926781475544,0.47787728905677795,0.8800366520881653,0.5294924378395081,0.5548245906829834
19,1,1.0,0.9883081316947937,nan,nan,0.14618252217769623,0.0,0.0,0.05381748080253601,0.0013876032317057252,0.0,0.009493067860603333,0.4615316689014435,0.8946886658668518,0.5377228856086731,0.5570175647735596
20,1,1.0,0.9913408160209656,0.15143710374832153,67.97434997558594,0.1441352218389511,0.0,0.0,0.05586478114128113,0.0013876032317057252,0.0,0.010549228638410568,0.3938293755054474,0.9166666865348816,0.5500686168670654,0.5548245906829834
21,1,1.0,0.9930790662765503,nan,nan,0.1507410705089569,0.0,0.0,0.04925893247127533,0.0013876032317057252,0.0,0.01216859370470047,0.4046492576599121,0.9194139242172241,0.5569273233413696,0.5548245906829834
22,1,1.0,0.9942708611488342,nan,nan,0.14793425798416138,0.0,0.0,0.05206574499607086,0.0013876032317057252,0.0,0.013100732117891312,0.35783886909484863,0.9203296899795532,0.5555555820465088,0.5438596606254578
23,1,1.0,0.9950351715087891,nan,nan,0.13420197367668152,0.0,0.0,0.06579802930355072,0.0013876032317057252,0.0,0.013796762563288212,0.3388902544975281,0.9249083995819092,0.5569273233413696,0.5548245906829834
24,1,1.0,0.995377779006958,nan,nan,0.18033643066883087,0.0,0.0,0.019663572311401367,0.0013876032317057252,0.0,0.014525089412927628,0.3402691185474396,0.9368131756782532,0.5582990646362305,0.5482456088066101
25,1,1.0,0.9955576658248901,0.12978200614452362,78.30329132080078,0.14512822031974792,0.0,0.0,0.054871782660484314,0.0013876032317057252,0.0,0.015224285423755646,0.3051634430885315,0.9322344064712524,0.5500686168670654,0.5328947305679321
26,1,1.0,0.9960390329360962,nan,nan,0.1716148406267166,0.0,0.0,0.028385162353515625,0.0013876032317057252,0.0,0.016304029151797295,0.28457316756248474,0.9450549483299255,0.5514403581619263,0.5438596606254578
27,1,1.0,0.9961259961128235,nan,nan,0.1392330527305603,0.0,0.0,0.060766950249671936,0.0013876032317057252,0.0,0.01735030859708786,0.2710016667842865,0.9569597244262695,0.5692729949951172,0.5504385828971863
28,1,1.0,0.9956085085868835,nan,nan,0.1537567377090454,0.0,0.0,0.04624326527118683,0.0013876032317057252,0.0,0.01862281933426857,0.26025205850601196,0.9551281929016113,0.5582990646362305,0.5416666865348816
29,1,1.0,0.9941579699516296,nan,nan,0.15518724918365479,0.0,0.0,0.044812753796577454,0.0013876032317057252,0.0,0.019687237218022346,0.21610184013843536,0.9496337175369263,0.5582990646362305,0.5372806787490845
30,1,1.0,0.9923416376113892,0.16201633214950562,85.06402587890625,0.14403168857097626,0.0,0.0,0.05596831440925598,0.0013876032317057252,0.0,0.02073468640446663,0.2272060364484787,0.9542124271392822,0.5528120994567871,0.530701756477356
31,1,1.0,0.9894849061965942,nan,nan,0.15145042538642883,0.0,0.0,0.048549577593803406,0.0013876032317057252,0.0,0.021883472800254822,0.2117505967617035,0.9615384340286255,0.554183840751648,0.5416666865348816
32,1,1.0,0.9865322709083557,nan,nan,0.14262884855270386,0.0,0.0,0.05737115442752838,0.0013876032317057252,0.0,0.023185208439826965,0.19558225572109222,0.9688644409179688,0.5486968159675598,0.5416666865348816
33,1,1.0,0.9842132925987244,nan,nan,0.1261567771434784,0.0,0.0,0.07384322583675385,0.0013876032317057252,0.0,0.024077067151665688,0.19009514153003693,0.970695972442627,0.5349794030189514,0.5416666865348816
34,1,1.0,0.9811438918113708,nan,nan,0.12194773554801941,0.0,0.0,0.07805226743221283,0.0013876032317057252,0.0,0.02514035999774933,0.17305496335029602,0.9688644409179688,0.5377228856086731,0.5197368264198303
35,1,1.0,0.9750089049339294,0.20674501359462738,85.45076751708984,0.1649414300918579,0.0,0.0,0.03505857288837433,0.0013876032317057252,0.0,0.02607320435345173,0.16779136657714844,0.9661172032356262,0.5445815920829773,0.515350878238678
36,1,1.0,0.9654755592346191,nan,nan,0.146205872297287,0.0,0.0,0.05379413068294525,0.0013876032317057252,0.0,0.027256060391664505,0.1619434505701065,0.9670329689979553,0.5486968159675598,0.5197368264198303
37,1,1.0,0.9588255286216736,nan,nan,0.1744093894958496,0.0,0.0,0.02559061348438263,0.0013876032317057252,0.0,0.02845590189099312,0.16650162637233734,0.971611738204956,0.5459533333778381,0.5372806787490845
38,1,1.0,0.9542507529258728,nan,nan,0.15786564350128174,0.0,0.0,0.0421343594789505,0.0013876032317057252,0.0,0.029057106003165245,0.16065190732479095,0.976190447807312,0.547325074672699,0.5241228342056274
39,1,1.0,0.9548971056938171,nan,nan,0.15031930804252625,0.0,0.0,0.049680694937705994,0.0013876032317057252,0.0,0.02964157424867153,0.15112151205539703,0.9780219793319702,0.5459533333778381,0.5263158082962036
40,1,1.0,0.9589802622795105,0.11526935547590256,85.2906265258789,0.16355887055397034,0.0,0.0,0.0364411324262619,0.0013876032317057252,0.0,0.030539439991116524,0.15012946724891663,0.9807692170143127,0.5459533333778381,0.5372806787490845
